City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Shubarshi,KZ,2022-08-11 19:47:57,48.5872,57.1869,82.26,28,74,5.77
221,Georgetown,MY,2022-08-11 19:47:57,5.4112,100.3354,82.89,86,20,2.3
222,Udimskiy,RU,2022-08-11 19:47:57,61.1417,45.9144,60.44,65,100,9.51
223,Narsaq,GL,2022-08-11 19:47:58,60.9167,-46.05,59.22,76,12,4.76
224,Klyuchi,RU,2022-08-11 19:47:58,52.2667,79.1667,61.16,90,88,6.02
225,Abu Samrah,SY,2022-08-11 19:47:58,35.3029,37.1841,75.65,69,0,12.26
226,Arraial Do Cabo,BR,2022-08-11 19:43:35,-22.9661,-42.0278,69.76,78,40,25.32
227,Sambava,MG,2022-08-11 19:47:59,-14.2667,50.1667,69.98,75,56,14.43
228,Yarmouth,US,2022-08-11 19:47:59,41.7057,-70.2286,73.87,93,100,5.75
229,Ranong,TH,2022-08-11 19:47:59,9.9658,98.6348,79.32,85,98,9.66
230,Nouadhibou,MR,2022-08-11 19:48:00,20.931,-17.0347,75.18,73,1,23.02
231,Port-De-Bouc,FR,2022-08-11 19:48:00,43.4,4.9833,81.59,71,0,5.75
232,Karasjok,NO,2022-08-11 19:48:00,69.4719,25.5112,50.43,79,100,27.54
233,Hasaki,JP,2022-08-11 19:48:01,35.7333,140.8333,81.28,86,17,24.87
234,Sulangan,PH,2022-08-11 19:48:01,11.1373,123.7228,82.62,75,100,7.31
235,Castro,BR,2022-08-11 19:48:01,-24.7911,-50.0119,56.46,59,0,5.84
236,Porosozero,RU,2022-08-11 19:48:02,62.7191,32.727,60.46,93,82,6.29
237,Morondava,MG,2022-08-11 19:48:02,-20.2833,44.2833,70.0,82,0,7.72
238,Olafsvik,IS,2022-08-11 19:48:02,64.8945,-23.7142,50.85,78,10,11.36
239,Teguise,ES,2022-08-11 19:48:03,29.0605,-13.564,71.82,64,20,14.97
240,Qaracala,AZ,2022-08-11 19:48:03,39.8132,48.9523,78.44,75,0,5.48
241,Bulalacao,PH,2022-08-11 19:48:04,12.3254,121.3435,80.22,76,100,2.75
242,Chipata,ZM,2022-08-11 19:48:04,-13.6333,32.65,62.17,40,0,4.41
243,Sao Joao Da Barra,BR,2022-08-11 19:48:04,-21.6403,-41.0511,78.89,55,98,25.61
244,Mtwara,TZ,2022-08-11 19:48:04,-10.2667,40.1833,70.32,86,23,9.22
245,Antofagasta,CL,2022-08-11 19:46:04,-23.65,-70.4,60.08,69,2,8.84
246,Meulaboh,ID,2022-08-11 19:48:05,4.1363,96.1285,77.49,84,100,1.23
247,Cidreira,BR,2022-08-11 19:48:05,-30.1811,-50.2056,61.41,78,2,6.93
248,Anuradhapura,LK,2022-08-11 19:48:06,8.3565,80.4173,78.13,84,100,12.12
249,Trinidad,BO,2022-08-11 19:48:06,-14.8333,-64.9,82.38,30,0,0.0
250,Plettenberg Bay,ZA,2022-08-11 19:48:06,-34.0527,23.3716,57.04,87,100,2.48
251,Saint George,US,2022-08-11 19:45:17,37.1041,-113.5841,93.43,35,0,1.99
252,Beloha,MG,2022-08-11 19:45:29,-25.1667,45.05,66.34,56,0,9.95
253,Maceio,BR,2022-08-11 19:43:43,-9.6658,-35.7353,81.84,69,40,10.36
254,Kawalu,ID,2022-08-11 19:48:07,-7.3817,108.2082,72.05,98,74,0.69
255,Berlevag,NO,2022-08-11 19:48:07,70.8578,29.0864,55.2,87,100,18.41
256,Severo-Kurilsk,RU,2022-08-11 19:48:08,50.6789,156.125,55.99,96,95,13.2
257,Korsor,DK,2022-08-11 19:48:08,55.3299,11.1386,68.07,63,5,7.38
258,Grenfell,AU,2022-08-11 19:48:08,-33.9,148.1667,47.89,97,100,8.77
259,Porto Santo,PT,2022-08-11 19:48:09,33.072,-16.3415,73.78,68,20,9.22
260,Nivala,FI,2022-08-11 19:48:09,63.9167,24.9667,56.68,69,79,6.55
261,Nemuro,JP,2022-08-11 19:45:09,43.3236,145.575,65.43,100,100,12.17
262,Bhind,IN,2022-08-11 19:48:10,26.5642,78.7883,85.12,66,93,14.05
263,Lorengau,PG,2022-08-11 19:48:10,-2.0226,147.2712,79.95,79,48,5.35
264,Beidao,CN,2022-08-11 19:48:10,34.5686,105.8933,73.83,79,75,6.2
265,Vardo,NO,2022-08-11 19:48:10,70.3705,31.1107,53.58,87,0,10.36
